Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Состав;Weight;Length;Width;Height
5,8823E+11;Fayno;;New;Зима 2021;Артикул 1888;Размеры 46-54;;https://static.tildacdn.com/tild6363-3664-4465-a339-323432353464/1938_5.jpg;;;;;;MYYSEojl4KXTT6tOla3E;;Хлопок 60%, Полиэстер 40%;0;0;0;0
6,07728E+11;;1888;;;Артикул 1888 / Синий- Синий;;;https://static.tildacdn.com/tild6363-3664-4465-a339-323432353464/1938_5.jpg;25.0000;10;;Цвет:Синий;;G2Rr9j0Cgz4UKNTx8uR5;5,8823E+11;;0;0;0;0
8,64814E+11;;1888 д;;;Артикул 1888 / Синий- Синий;;;https://static.tildacdn.com/tild3330-3030-4434-a632-613064376262/1938_1.jpg;25.0000;10;;Цвет:Синий;;KoIITztpT82x4BBBu3F3;5,8823E+11;;0;0;0;0
1,49739E+11;;1888 т;;;Артикул 1888- ;;;https://static.tildacdn.com/tild3761-3939-4431-b330-613831336436/ORh_274083_.jpg;25.0000;0;;Цвет:;;ATZnCaBvU2FYDghaBFzB;5,8823E+11;;0;0;0;0
7,17587E+11;Optovolokno;;New;Весна 2021;Блузка 1937, Брюки 1906;Размеры 46-56;;https://static.tildacdn.com/tild3765-6536-4730-a433-383731316263/1937_3.jpg;;;;;;G1YYMcubSBjPD0LGH3ZC;;Хлопок 100%;0;0;0;0
7,11136E+11;;Блузка 5/425;;;Блузка 1937, Брюки 1906 / Синий- Синий;;;https://static.tildacdn.com/tild3765-6536-4730-a433-383731316263/1937_3.jpg;25.0000;34;;Цвет:Синий;;ZCAGHucRgX8lM4ISBUsh;7,17587E+11;;0;0;0;0
6,4766E+11;;Блузка 5/425 т;;;Блузка 1937, Брюки 1906-- ;;;https://static.tildacdn.com/tild3433-3136-4030-b964-373835653231/ORh_274072_.jpg;25.0000;0;;Цвет:;;6Pt9HNyKt0ys84Ch0y8m;7,17587E+11;;0;0;0;0
1,10567E+11;;Брюки 1906;;;Блузка 1937, Брюки 1906 / Чёрный- Чёрный;;;https://static.tildacdn.com/tild3765-6536-4730-a433-383731316263/1937_3.jpg;14.0000;22;;Цвет:Чёрный;;4vNsEo9nMhiMO69DZ1ve;7,17587E+11;;0;0;0;0
7,78408E+11;;Брюки 1906 т;;;Блузка 1937, Брюки 1906-- ;;;https://static.tildacdn.com/tild3135-3433-4063-b661-656533626261/ORh_274078_.jpg;14.0000;0;;Цвет:;;b1zl0DP5yxRm0PY3VkCE;7,17587E+11;;0;0;0;0
7,40174E+11;Ламазо;;;Зима 2021;Артикул 1843;Размеры 52-60;;https://static.tildacdn.com/tild6539-6433-4236-b936-663265393836/1843_0.jpg;;;;;;b3v1bCOiT8sXFS2meKVe;;Хлопок 60%, Полиэстер 40%;0;0;0;0
5,96266E+11;;1843;;;Артикул 1843 / Серый- Серый;;;https://static.tildacdn.com/tild6539-6433-4236-b936-663265393836/1843_0.jpg;25.0000;22;;Цвет:Серый;;6haiOBLXHxG0ZcenGIDs;7,40174E+11;;0;0;0;0
9,97399E+11;;1843 д;;;Артикул 1843-- ;;;https://static.tildacdn.com/tild3630-6165-4664-b866-636164323931/1843_3.jpg;25.0000;22;;Цвет:;;ZklLt9k3m8jVaaZBCyuv;7,40174E+11;;0;0;0;0
9,19002E+11;;1843 т;;;Артикул 1843-- ;;;https://static.tildacdn.com/tild6130-6133-4461-b132-366230343965/ORh_274070_.jpg;25.0000;0;;Цвет:;;mLHc0Uz8TKUdOdZxkiR7;7,40174E+11;;0;0;0;0
